ALL PAGBANK TRANSACTIONS:
1. Date: 2026-01-02 | Type: saida | Value: 993.10 | Desc: Renda Fixa - Aplicação em CDB
56. Date: 2026-01-17 | Type: entrada | Value: 504.11 | Desc: Vendas - Disponivel BOLETO
57. Date: 2026-01-19 | Type: saida | Value: 504.11 | Desc: Renda Fixa - Aplicação em CDB
58. Date: 2026-01-22 | Type: saida | Value: 123.30 | Desc: Renda Fixa - Aplicação em CDB
59. Date: 2026-01-22 | Type: entrada | Value: 123.30 | Desc: Vendas - Disponivel BOLETO
60. Date: 2026-01-23 | Type: saida | Value: 311.53 | Desc: Renda Fixa - Aplicação em CDB
61. Date: 2026-01-23 | Type: saida | Value: 1100.00 | Desc: QR Code Pix enviado - Macintel Seguranca Eletronica E Controle De Acess
62. Date: 2026-01-23 | Type: entrada | Value: 1411.53 | Desc: Vendas - Disponivel BOLETO
63. Date: 2026-01-24 | Type: entrada | Value: 1931.19 | Desc: Vendas - Disponivel BOLETO
64. Date: 2026-01-25 | Type: entrada | Value: 62.81 | Desc: Vendas - Disponivel BOLETO
65. Date: 2026-01-26 | Type: saida | Value: 4179.00 | Desc: QR Code Pix enviado - Macintel Seguranca Eletronica E Controle De Acess
66. Date: 2026-01-26 | Type: entrada | Value: 2185.31 | Desc: Vendas - Disponivel BOLETO
67. Date: 2026-01-27 | Type: saida | Value: 68.26 | Desc: Renda Fixa - Aplicação em CDB
68. Date: 2026-01-27 | Type: saida | Value: 3300.00 | Desc: QR Code Pix enviado - Macintel Seguranca Eletronica E Controle De Acess
69. Date: 2026-01-27 | Type: entrada | Value: 3367.95 | Desc: Vendas - Disponivel BOLETO
70. Date: 2026-01-28 | Type: saida | Value: 1098.37 | Desc: Renda Fixa - Aplicação em CDB
71. Date: 2026-01-28 | Type: entrada | Value: 1098.37 | Desc: Vendas - Disponivel BOLETO
72. Date: 2026-01-29 | Type: saida | Value: 3090.00 | Desc: Pix enviado - Marcus Emerson Rocha Garcia
73. Date: 2026-01-29 | Type: entrada | Value: 3091.20 | Desc: Vendas - Disponivel BOLETO
74. Date: 2026-01-30 | Type: saida | Value: 6.90 | Desc: Pagamento com QR Code - Para: PAGSEGURO INTERNET INSTITUICAO DE PAGAMENTO
75. Date: 2026-01-30 | Type: entrada | Value: 1500.00 | Desc: Pix recebido - Expresso Foods Comercio De Alimentos Ltda
76. Date: 2026-01-30 | Type: saida | Value: 1420.00 | Desc: QR Code Pix enviado - Macintel Seguranca Eletronica E Controle De Acess
77. Date: 2026-01-30 | Type: entrada | Value: 1427.62 | Desc: Vendas - Disponivel BOLETO
78. Date: 2026-01-31 | Type: saida | Value: 1500.00 | Desc: Pix enviado - Marcus Emerson Rocha Garcia
